datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,temp_next_day
2025-05-01 00:00:00,7.8,6.6,-5.1,39.55,0.0,0,nan,0,0,15.1,7.6,360,1021.4,100.0,17.1,0,0.0,0,nan,Overcast,10.0
2025-05-01 01:00:00,6.7,5.8,-4.6,44.41,0.0,0,nan,0,0,12.6,5.4,360,1022.1,0.0,17.1,0,0.0,0,nan,Clear,10.4
2025-05-01 02:00:00,6.1,5.2,-4.1,48.21,0.0,0,nan,0,0,12.6,5.4,10,1022.4,30.0,18.5,0,0.0,0,nan,Partially cloudy,11.2
2025-05-01 03:00:00,5.2,5.2,-3.8,52.48,0.0,0,nan,0,0,16.6,3.7,30,1022.3,0.0,17.1,0,0.0,0,nan,Clear,10.8
2025-05-01 04:00:00,4.3,3.1,-4.0,54.78,0.0,0,nan,0,0,16.6,5.5,30,1022.1,0.0,17.1,0,0.0,0,nan,Clear,10.8
2025-05-01 05:00:00,3.7,2.4,-4.3,55.88,0.0,0,nan,0,0,15.1,5.4,1,1022.1,10.0,18.5,0,0.0,0,nan,Clear,11.2
2025-05-01 06:00:00,3.3,2.0,-4.6,56.05,0.0,0,nan,0,0,13.0,5.5,20,1022.4,0.0,17.1,16,0.1,0,nan,Clear,11.7
2025-05-01 07:00:00,4.1,2.9,-4.1,54.89,0.0,0,nan,0,0,17.3,5.5,60,1023.0,0.0,24.5,50,0.2,1,nan,Clear,11.2
2025-05-01 08:00:00,4.4,3.2,-3.8,55.47,0.0,0,nan,0,0,20.9,5.5,20,1023.3,40.0,25.0,253,0.9,3,nan,Partially cloudy,11.4
2025-05-01 09:00:00,6.4,5.5,-2.9,51.76,0.0,0,nan,0,0,21.6,5.5,60,1023.2,0.0,24.5,546,2.0,5,nan,Clear,10.5
2025-05-01 10:00:00,7.7,6.4,-3.6,44.48,0.0,0,nan,0,0,21.2,7.6,40,1023.0,0.0,24.5,685,2.5,7,nan,Clear,11.9
2025-05-01 11:00:00,9.7,9.2,-3.0,40.93,0.0,0,nan,0,0,19.4,5.4,149,1022.3,50.0,25.0,841,3.0,8,nan,Partially cloudy,13.7
2025-05-01 12:00:00,11.0,11.0,-3.8,35.27,0.0,0,nan,0,0,21.2,3.6,130,1021.9,0.0,24.5,902,3.2,9,nan,Clear,16.9
2025-05-01 13:00:00,12.2,12.2,-2.4,36.15,0.0,0,nan,0,0,21.2,9.4,70,1020.5,0.0,24.5,905,3.3,9,nan,Clear,16.5
2025-05-01 14:00:00,13.7,13.7,-2.2,33.39,0.0,0,nan,0,0,19.8,7.6,110,1019.2,80.0,25.0,824,3.0,8,nan,Partially cloudy,20.5
2025-05-01 15:00:00,14.4,14.4,-4.8,26.15,0.0,0,nan,0,0,19.1,3.6,120,1018.2,100.0,24.5,625,2.3,6,nan,Overcast,21.5
2025-05-01 16:00:00,15.4,15.4,-2.3,29.63,0.0,0,nan,0,0,19.4,5.5,159,1017.1,99.4,24.5,722,2.6,7,nan,Overcast,21.4
2025-05-01 17:00:00,15.0,15.0,-3.9,26.76,0.0,0,nan,0,0,17.3,5.5,129,1017.0,100.0,25.0,165,0.6,2,nan,Overcast,21.5
2025-05-01 18:00:00,15.4,15.4,-2.8,28.46,0.0,0,nan,0,0,16.6,3.7,129,1016.1,0.0,24.5,116,0.4,1,nan,Clear,20.5
2025-05-01 19:00:00,15.1,15.1,-3.0,28.59,0.0,0,nan,0,0,16.2,5.5,60,1014.8,100.0,24.5,23,0.1,0,nan,Overcast,19.7
2025-05-01 20:00:00,14.3,14.3,-1.8,32.93,0.0,0,nan,0,0,20.2,9.4,30,1014.1,100.0,18.5,1,0.0,0,nan,Overcast,18.9
2025-05-01 21:00:00,12.5,12.5,-0.6,40.43,0.0,0,nan,0,0,22.3,7.7,30,1014.2,100.0,17.1,0,0.0,0,nan,Overcast,18.2
2025-05-01 22:00:00,12.3,12.3,0.8,45.37,0.0,0,nan,0,0,21.6,5.6,20,1014.4,100.0,15.6,0,0.0,0,nan,Overcast,17.7
2025-05-01 23:00:00,10.8,10.8,4.4,64.29,0.0,0,nan,0,0,22.3,9.4,341,1014.0,100.0,13.8,0,0.0,0,nan,Overcast,16.2
2025-05-02 00:00:00,10.0,9.6,5.0,71.1,0.456,100,rain,0,0,24.8,5.4,360,1013.1,100.0,nan,0,0.0,0,nan,"Rain, Overcast",14.8
2025-05-02 01:00:00,10.4,10.4,5.4,70.88,0.292,100,rain,0,0,33.5,3.8,51,1010.8,100.0,12.8,0,0.0,0,nan,"Rain, Overcast",13.5
2025-05-02 02:00:00,11.2,11.2,5.7,68.75,0.005,100,rain,0,0,30.2,3.8,179,1009.6,100.0,13.8,0,0.0,0,nan,"Rain, Overcast",11.9
2025-05-02 03:00:00,10.8,10.8,6.9,76.4,0.254,100,rain,0,0,27.4,5.5,169,1008.5,100.0,12.8,0,0.0,0,nan,"Rain, Overcast",11.5
2025-05-02 04:00:00,10.8,10.8,8.9,87.5,1.329,100,rain,0,0,39.2,9.4,179,1007.9,100.0,12.8,0,0.0,0,nan,"Rain, Overcast",10.8
2025-05-02 05:00:00,11.2,11.2,9.4,88.34,0.283,100,rain,0,0,37.1,7.8,170,1006.7,96.9,16.0,0,0.0,0,nan,"Rain, Overcast",10.0
